id,batting_average,batting_strike_rate,batting_100s_normalized,batting_50s_normalized,batting_6s_normalized,batting_4s_normalized,batting_highest_score,batting_not_outs_normalized,bowling_average,bowling_strike_rate,bowling_economy,bowling_maidens_normalized,identifier
37696,4.0,85.71,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,70542bef
396575,23.71,79.04,0.0,0.0,0.5,1.25,0.0,0.125,0.0,0.0,0.0,0.0,b8f10b60
1323417,5.66,113.33,0.0,0.0,0.3333333333333333,0.0,15.0,0.0,10.22,12.6,4.84,0.1052631578947368,0e56c514
226493,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,33.1,21.5,9.23,0.0,94238673
436757,25.03,147.61,0.0,0.125,0.9375,1.625,81.0,0.1875,0.0,0.0,14.0,0.0,235c2bb6
1203898,31.73,105.22,0.0,0.1764705882352941,0.1764705882352941,1.9705882352941175,80.0,0.2352941176470588,30.9,24.3,7.61,0.0231660231660231,87a6f411
1283117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,12.0,6.62,0.0,29663fda
43906,33.6,132.05,0.0,0.1818181818181818,0.5909090909090909,3.3181818181818183,0.0,0.1363636363636363,0.0,0.0,0.0,0.0,e798611a
55608,25.96,117.2,0.0,0.1666666666666666,0.9848484848484848,2.287878787878788,0.0,0.0303030303030303,56.5,36.0,9.41,0.0,31fbf891
48284,6.0,80.0,0.0,0.0,0.0,0.0,7.0,0.3333333333333333,24.0,21.0,6.85,0.0,4fc516bd
539511,12.5,89.28,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,03521fd3
49178,2.66,66.66,0.0,0.0,0.0,0.0,3.0,0.5,20.72,20.2,6.13,0.0495867768595041,d2fcce2f
308410,4.57,86.48,0.0,0.0,0.1,0.2,13.0,0.3,35.2,31.2,6.76,0.0,915264c2
212175,7.75,91.17,0.0,0.0,0.3333333333333333,0.1666666666666666,17.0,0.3333333333333333,25.0,21.0,7.14,0.0,2b8b75a0
414248,21.0,103.15,0.0,0.1333333333333333,0.2,1.8666666666666667,0.0,0.0666666666666666,48.5,35.5,8.19,0.0,c4ff0618
1089939,12.66,58.46,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,e28327c6
346529,17.0,90.26,0.0,0.0,0.3333333333333333,2.333333333333333,38.0,0.0,31.0,23.8,7.81,0.0,725c73f2
443263,15.0,96.77,0.0,0.0,0.2941176470588235,0.5294117647058824,28.0,0.4117647058823529,26.58,20.0,7.93,0.0,1ac2a995
355583,6.0,103.84,0.0,0.0,0.0909090909090909,0.3636363636363636,21.0,0.1818181818181818,15.22,11.9,7.63,0.0186915887850467,7839bf3a
