id,date,match_type,venue,city,gender,team_type,team1,team2,outcome,toss_winner,toss_decision,target,team1_batting_average,team1_batting_strike_rate,team1_batting_100s_normalized,team1_batting_50s_normalized,team1_batting_6s_normalized,team1_batting_4s_normalized,team1_bowling_average,team1_bowling_strike_rate,team1_bowling_economy,team1_bowling_maidens_normalized,team2_batting_average,team2_batting_strike_rate,team2_batting_100s_normalized,team2_batting_50s_normalized,team2_batting_6s_normalized,team2_batting_4s_normalized,team2_bowling_average,team2_bowling_strike_rate,team2_bowling_economy,team2_bowling_maidens_normalized,year,batting_average_difference,bowling_average_difference,batting_strike_rate_difference,bowling_strike_rate_difference,bowling_economy_difference,bowling_maidens_normalized_difference,batting_100s_normalized_difference,batting_50s_normalized_difference,batting_4s_normalized_difference,batting_6s_normalized_difference
1001349,2017-02-17,T20,159,117,0,international,2,83,1.0,1,0,169,18.319090909090907,111.46363636363635,0.0196078431372549,0.2016806722689075,0.5068882016676135,1.1512002213472805,26.4225,19.8,8.494444444444445,0.0146372508176813,14.890909090909092,115.36090909090908,0.02999815680483347,0.0767356425251161,0.4619617224880382,1.093143946253994,36.3,26.450000000000003,8.0425,0.0201539290251074,2017,-3.4281818181818142,9.877499999999998,3.8972727272727212,6.650000000000002,-0.4519444444444449,0.005516678207426099,0.010390313667578567,-0.12494502974379142,-0.05805627509328648,-0.04492647917957532
1001349,2017-02-17,T20,159,117,0,international,83,2,-1.0,-1,0,169,14.890909090909092,115.36090909090908,0.02999815680483347,0.0767356425251161,0.4619617224880382,1.093143946253994,36.3,26.450000000000003,8.0425,0.0201539290251074,18.319090909090907,111.46363636363635,0.0196078431372549,0.2016806722689075,0.5068882016676135,1.1512002213472805,26.4225,19.8,8.494444444444445,0.0146372508176813,2017,3.4281818181818142,-9.877499999999998,-3.8972727272727212,-6.650000000000002,0.4519444444444449,-0.005516678207426099,-0.010390313667578567,0.12494502974379142,0.05805627509328648,0.04492647917957532
1001351,2017-02-19,T20,230,173,0,international,2,83,1.0,1,0,174,20.13090909090909,118.21363636363635,0.0196078431372549,0.2016806722689075,0.5358074560614668,1.201848686073285,28.31428571428572,20.65714285714285,8.763749999999998,0.0129767149150408,16.246363636363636,121.76090909090908,0.02999815680483347,0.1039417055094546,0.5093825715158301,1.216106090492734,38.027142857142856,27.37142857142857,8.154285714285715,0.0219201599724838,2017,-3.884545454545453,9.712857142857136,3.547272727272727,6.714285714285719,-0.6094642857142833,0.008943445057443,0.010390313667578567,-0.09773896675945291,0.014257404419449005,-0.02642488454563674
1001351,2017-02-19,T20,230,173,0,international,83,2,-1.0,-1,0,174,16.246363636363636,121.76090909090908,0.02999815680483347,0.1039417055094546,0.5093825715158301,1.216106090492734,38.027142857142856,27.37142857142857,8.154285714285715,0.0219201599724838,20.13090909090909,118.21363636363635,0.0196078431372549,0.2016806722689075,0.5358074560614668,1.201848686073285,28.31428571428572,20.65714285714285,8.763749999999998,0.0129767149150408,2017,3.884545454545453,-9.712857142857136,-3.547272727272727,-6.714285714285719,0.6094642857142833,-0.008943445057443,-0.010390313667578567,0.09773896675945291,-0.014257404419449005,0.02642488454563674
1001353,2017-02-22,T20,1,1,0,international,2,83,-1.0,1,0,188,19.721818181818183,115.78090909090908,0.0196078431372549,0.2016806722689075,0.5627215350009468,1.1957880800126792,28.47,21.314285714285717,8.54375,0.0105835010060361,16.418181818181818,120.58454545454543,0.02999815680483347,0.1072009647687139,0.5520492381824968,1.1173855517721951,36.27375,26.1625,8.1475,0.0219201599724838,2017,-3.3036363636363646,7.803750000000001,4.8036363636363575,4.848214285714285,-0.39624999999999844,0.011336658966447699,0.010390313667578567,-0.09447970750019362,-0.0784025282404841,-0.010672296818449944
1001353,2017-02-22,T20,1,1,0,international,83,2,1.0,-1,0,188,16.418181818181818,120.58454545454543,0.02999815680483347,0.1072009647687139,0.5520492381824968,1.1173855517721951,36.27375,26.1625,8.1475,0.0219201599724838,19.721818181818183,115.78090909090908,0.0196078431372549,0.2016806722689075,0.5627215350009468,1.1957880800126792,28.47,21.314285714285717,8.54375,0.0105835010060361,2017,3.3036363636363646,-7.803750000000001,-4.8036363636363575,-4.848214285714285,0.39624999999999844,-0.011336658966447699,-0.010390313667578567,0.09447970750019362,0.0784025282404841,0.010672296818449944
1004729,2016-09-05,T20,32,111,0,international,41,35,1.0,1,1,170,13.545454545454549,98.12909090909092,0.0097087378640776,0.079353600690365,0.4252869432156436,1.246179963921127,21.378,17.240000000000002,7.991666666666666,0.0083307969144542,15.867,100.534,0.0294117647058823,0.0803104575163398,0.5249015395631937,0.9358142906285322,29.83375,23.425,7.483750000000001,0.0228085264019756,2016,2.3215454545454524,8.455749999999998,2.4049090909090864,6.184999999999999,-0.5079166666666657,0.014477729487521402,0.0197030268418047,0.0009568568259748084,-0.3103656732925949,0.09961459634755016
1004729,2016-09-05,T20,32,111,0,international,35,41,-1.0,-1,1,170,15.867,100.534,0.0294117647058823,0.0803104575163398,0.5249015395631937,0.9358142906285322,29.83375,23.425,7.483750000000001,0.0228085264019756,13.545454545454549,98.12909090909092,0.0097087378640776,0.079353600690365,0.4252869432156436,1.246179963921127,21.378,17.240000000000002,7.991666666666666,0.0083307969144542,2016,-2.3215454545454524,-8.455749999999998,-2.4049090909090864,-6.184999999999999,0.5079166666666657,-0.014477729487521402,-0.0197030268418047,-0.0009568568259748084,0.3103656732925949,-0.09961459634755016
1007655,2016-06-18,T20,104,80,0,international,95,38,-1.0,1,0,171,17.639999999999997,111.96599999999998,0.02999815680483347,0.0886959161351017,0.6263786383035457,1.111886202817658,34.23,24.022222222222226,8.402000000000001,0.0089127929312331,24.00333333333333,100.841,0.03125,0.1853877005347593,0.623788435828877,1.6480097720906544,26.392000000000003,18.9,8.256,0.0185030695742535,2016,6.363333333333333,-7.837999999999994,-11.124999999999986,-5.122222222222227,-0.1460000000000008,0.009590276643020399,0.0012518431951665313,0.09669178439965762,0.5361235692729964,-0.002590202474668679
1007655,2016-06-18,T20,104,80,0,international,38,95,1.0,-1,0,171,24.00333333333333,100.841,0.03125,0.1853877005347593,0.623788435828877,1.6480097720906544,26.392000000000003,18.9,8.256,0.0185030695742535,17.639999999999997,111.96599999999998,0.02999815680483347,0.0886959161351017,0.6263786383035457,1.111886202817658,34.23,24.022222222222226,8.402000000000001,0.0089127929312331,2016,-6.363333333333333,7.837999999999994,11.124999999999986,5.122222222222227,0.1460000000000008,-0.009590276643020399,-0.0012518431951665313,-0.09669178439965762,-0.5361235692729964,0.002590202474668679
