id,batting_strike_rate_difference,batting_average_difference,batting_4s_normalized_difference,team2_batting_average,team2_batting_strike_rate,team2_batting_4s_normalized,batting_6s_normalized_difference,team1_bowling_strike_rate,team1_bowling_average,team2_batting_6s_normalized,team2_batting_50s_normalized,team1_bowling_economy,batting_50s_normalized_difference,team1,team1_bowling_maidens_normalized,team2_bowling_maidens_normalized,toss_decision,gender,city,team2,team2_bowling_strike_rate,team2_bowling_average,team2_bowling_economy,team1_batting_6s_normalized,team1_batting_4s_normalized,bowling_strike_rate_difference,bowling_economy_difference,bowling_average_difference,team1_batting_average,team1_batting_strike_rate
287854,11.944545454545477,4.18318181818182,-0.05022796247693129,19.335,112.02,1.2530567998163986,0.45832467615728956,18.1,19.708571428571428,0.8218704840036462,0.1008377877930335,6.98625,-0.011703740446169106,47,0.0232082617877755,0.040673383216182,0,0,62,60,20.96666666666667,25.93,7.308333333333334,0.3635458078463566,1.30328476229333,2.866666666666667,0.3220833333333335,6.2214285714285715,15.15181818181818,100.07545454545452
287855,-49.69090909090909,-11.337909090909095,-0.5579251520142019,11.519090909090908,87.96727272727273,0.9792658730158732,-0.4276094394678991,16.97142857142857,20.055714285714284,0.162641723356009,0.1111111111111111,6.921428571428572,0.013656989139394005,64,0.0147168865385474,0.0550537634408601,0,0,62,74,15.8,18.368,7.856666666666666,0.5902511628239081,1.537191025030075,-1.1714285714285708,0.9352380952380939,-1.6877142857142857,22.857000000000003,137.65818181818182
287856,-21.439545454545424,-9.896,-0.3150217976561791,16.609,107.63545454545456,1.3773569023569023,-0.2714477284541517,21.016666666666666,27.561666666666667,0.4473091723091723,0.1069780219780219,7.324285714285715,-0.11417096792096788,2,0.0251575091575091,0.0160642570281124,1,0,31,95,32.8125,41.99125,8.159,0.718756900763324,1.6923787000130814,11.795833333333334,0.834714285714286,14.429583333333333,26.505000000000003,129.075
287857,2.4718181818182074,4.6683636363636385,0.3615905128856589,20.602,106.03272727272729,1.648036183036183,0.24416682466036965,23.41428571428571,30.617142857142856,0.7803088873401373,0.1380928868428868,9.85375,0.04006121660104969,6,0.0287244076200778,0.0104712041884816,0,0,90,94,22.25,29.2375,7.635000000000001,0.5361420626797676,1.286445670150524,-1.164285714285711,-2.218749999999999,-1.379642857142855,15.933636363636362,103.56090909090908
287858,-11.965454545454534,-2.508272727272729,-0.06572584822584826,16.609,107.63545454545456,1.3773569023569023,-0.14518321184987854,20.05555555555556,27.07888888888889,0.4473091723091723,0.1069780219780219,8.112222222222222,-0.031203796203796194,24,0.0122428348234799,0.0160642570281124,1,0,31,95,32.8125,41.99125,8.159,0.5924923841590508,1.4430827505827506,12.75694444444444,0.046777777777778695,14.91236111111111,19.11727272727273,119.6009090909091
287860,4.269999999999996,4.209999999999999,0.371757370162225,19.225454545454543,102.61363636363636,1.6750421324555549,0.10528298086154841,18.275,21.245,0.438516702825874,0.1531175138053571,6.887499999999999,0.04057598556615449,47,0.0232082617877755,0.0321374970790663,0,0,90,83,20.8625,26.145,7.795555555555556,0.3332337219643256,1.30328476229333,2.587500000000002,0.9080555555555563,4.899999999999999,15.015454545454544,98.34363636363636
287861,-8.339090909090913,-5.950000000000003,-0.24941910213969032,20.929,119.60090909090908,1.4430827505827506,-0.11613862716803891,21.72857142857143,28.981428571428573,0.5924923841590508,0.1381818181818181,7.49,-0.04588023088023091,2,0.0251575091575091,0.0102406554019457,1,0,31,24,19.637500000000003,26.63125,9.13,0.7086310113270897,1.692501852722441,-2.0910714285714285,1.6400000000000006,-2.3501785714285717,26.879,127.94
287862,8.913636363636357,-1.9789999999999957,-0.19609927707096886,21.363000000000003,137.42909090909092,1.384093381932432,-0.08734417311797538,19.883333333333336,24.946666666666665,0.5558807924535376,0.0928576208777296,10.33125,-0.005645741820006406,38,0.0544793822206728,0.0148563566509851,0,0,62,64,17.22857142857143,20.65142857142857,7.004285714285714,0.643224965571513,1.5801926590034008,-2.654761904761905,-3.326964285714287,-4.295238095238094,23.342,128.51545454545456
287863,-9.406363636363636,-0.10954545454545794,0.4219853326391563,19.225454545454543,102.61363636363636,1.6750421324555549,-0.38335378117777213,20.96666666666667,25.93,0.438516702825874,0.1531175138053571,7.308333333333334,0.0522797260123236,60,0.040673383216182,0.0321374970790663,1,0,90,83,20.8625,26.145,7.795555555555556,0.8218704840036462,1.2530567998163986,-0.10416666666666785,0.487222222222222,0.21499999999999986,19.335,112.02
287864,-10.933636363636381,-4.948181818181817,-0.08782755078059168,15.933636363636362,103.56090909090908,1.286445670150524,-0.11987073868391096,22.72857142857143,30.67428571428572,0.5361420626797676,0.0980316702418371,8.348888888888888,-0.0455614033512364,80,0.0207859802946074,0.0287244076200778,0,0,31,6,23.41428571428571,30.617142857142856,9.85375,0.6560128013636786,1.3742732209311157,0.6857142857142797,1.5048611111111114,-0.057142857142864045,20.88181818181818,114.49454545454546
287865,-18.22727272727272,-5.492000000000001,-0.4274415391686419,17.849999999999998,110.28818181818184,1.1527511198347589,0.17864551843213317,19.883333333333336,24.946666666666665,0.8218704840036462,0.1008377877930335,10.33125,0.002334425095297493,38,0.0544793822206728,0.0373566880894252,0,0,90,60,19.750000000000004,24.136666666666667,7.261666666666667,0.643224965571513,1.5801926590034008,-0.13333333333333286,-3.069583333333334,-0.8099999999999987,23.342,128.51545454545456
287866,-24.37909090909092,-10.94536363636364,-0.4060561825719169,15.933636363636362,103.56090909090908,1.286445670150524,-0.17248894864732212,21.72857142857143,28.981428571428573,0.5361420626797676,0.0980316702418371,7.49,-0.08603037882021192,2,0.0251575091575091,0.0287244076200778,0,0,31,6,23.41428571428571,30.617142857142856,9.85375,0.7086310113270897,1.692501852722441,1.6857142857142797,2.3637499999999996,1.6357142857142826,26.879,127.94
287867,-1.9500000000000028,-3.696363636363632,-0.1041812758391707,17.185454545454547,112.54454545454546,1.270091945091945,-0.08320886918474635,22.72857142857143,30.67428571428572,0.5728039321789322,0.1102272727272726,8.348888888888888,-0.03336580086580089,80,0.0207859802946074,0.0122428348234799,0,0,31,24,21.8125,29.38125,8.483333333333334,0.6560128013636786,1.3742732209311157,-0.9160714285714313,0.13444444444444592,-1.2930357142857183,20.88181818181818,114.49454545454546
